"HH_ID","ID","age","sex","birth_date","ID_mother","ID_father","date_prev_birth","num_births","ID_partner","union","child","mother","father","parent","HH_adults","age_first_birth","original_ID","hh_position","partner","main_parent","random_inf","enter_pop","comm_hh_prop","child18_hh","disease_state","inf_time","age_group_hh","age_group_pop","age_group","age_group_trans","parent_pop","transition","event_date","age_partner","immigrant","HH_size","HH_children","lipro_child_hh","NH"
4731655,8711448,42,"F",1969-03-02,NA,NA,2003-05-28,2,NA,0,0,1,0,1,3,32.9534246575342,"CABE04A01F5DEF3C","single_parent",0,NA,NA,NA,NA,NA,NA,NA,3,3,21,21,0,NA,2011-06-12,NA,NA,3,2,2,0
4731656,8851480,59,"F",1952-11-27,NA,NA,NA,NA,NA,0,0,0,0,0,2,NA,"CDFD392797F090AD","single",0,NA,NA,NA,NA,NA,NA,NA,3,3,30,30,0,NA,2011-11-08,NA,NA,1,0,0,0
4731657,3454719,15,"M",1996-11-26,8863764,5434067,NA,NA,NA,0,1,0,0,0,2,NA,"5066795E69EA3B68","child",1,8863764,NA,NA,NA,NA,NA,NA,2,2,8,8,1,NA,2011-11-13,NA,NA,2,1,1,0
4731657,8863764,40,"F",1971-09-04,NA,NA,1996-11-26,1,NA,0,0,1,0,1,2,25.2465753424658,"CE47166B912404A4","single_parent",0,NA,NA,NA,NA,NA,NA,NA,3,3,21,21,0,NA,2011-11-13,NA,NA,2,1,1,0
4731658,8993853,71,"F",1940-05-17,NA,NA,NA,NA,NA,0,0,0,0,0,2,NA,"D151093B0BDE2C50","single",0,NA,NA,NA,NA,NA,NA,NA,4,4,36,36,0,NA,2011-04-04,NA,NA,1,0,0,0
4731659,9346133,31,"F",1980-03-19,NA,NA,NA,0,NA,0,0,0,0,0,2,NA,"D985ED896ED0CC22","single",0,NA,NA,NA,NA,NA,NA,NA,3,3,17,17,0,NA,2011-11-22,NA,NA,1,0,0,0
4731660,9429993,23,"F",1988-12-19,NA,NA,NA,0,NA,0,0,0,0,0,2,NA,"DB7927D7575EC0DC","single",0,NA,NA,NA,NA,NA,NA,NA,3,3,13,13,0,NA,2011-08-01,NA,NA,1,0,0,0
4731661,5202668,22,"F",1989-08-15,NA,NA,NA,0,NA,0,0,0,0,0,4,NA,"790D107EFD141C9C","child",1,10031299,NA,NA,NA,NA,NA,NA,3,3,12,12,1,NA,2011-08-25,NA,NA,3,0,2,0
4731661,3549216,20,"F",1991-04-18,NA,NA,NA,0,NA,0,0,0,0,0,4,NA,"529837806126567C","child",1,10031299,NA,NA,NA,NA,NA,NA,3,3,11,11,1,NA,2011-08-25,NA,NA,3,0,2,0
4731661,10031299,50,"F",1961-10-28,NA,NA,1991-04-18,2,NA,0,0,0,0,0,4,27.8164383561644,"E972BA8A89C3F8F2","single_parent",0,NA,NA,NA,NA,NA,NA,NA,3,3,28,28,0,NA,2011-08-25,NA,NA,3,0,2,0
4731662,6434470,13,"M",1998-01-30,10034755,9906532,NA,NA,NA,0,1,0,0,0,2,NA,"95BD0E08BEFD1B37","child",1,10034755,NA,NA,NA,NA,NA,NA,2,2,7,7,1,NA,2011-12-27,NA,NA,2,1,1,0
4731662,10034755,38,"F",1973-10-11,NA,NA,1998-01-30,1,NA,0,0,1,0,1,2,24.3205479452055,"E987A0E2DDCBAA4E","single_parent",0,NA,NA,NA,NA,NA,NA,NA,3,3,21,21,0,NA,2011-12-27,NA,NA,2,1,1,0
4731663,10211450,29,"F",1982-05-04,NA,NA,NA,0,NA,0,0,0,0,0,2,NA,"EDA4D05D986D3C68","single",0,NA,NA,NA,NA,NA,NA,NA,3,3,16,16,0,NA,2011-09-04,NA,NA,1,0,0,0
4731664,10404287,48,"F",1963-12-30,NA,NA,NA,0,NA,0,0,0,0,0,2,NA,"F2224574AA095813","single",0,NA,NA,NA,NA,NA,NA,NA,3,3,24,24,0,NA,2011-11-10,NA,NA,1,0,0,0
4731665,10983788,60,"F",1951-11-22,NA,NA,NA,NA,NA,0,0,0,0,0,2,NA,"FF9AE250C93B8BF4","single",0,NA,NA,NA,NA,NA,NA,NA,3,3,31,31,0,NA,2011-11-12,NA,NA,1,0,0,0
4731666,43257,26,"F",1985-05-02,NA,NA,NA,0,4230950,1,0,0,0,0,3,NA,"010108CEFDE9A0C8","union",1,7916440,NA,NA,NA,NA,NA,NA,3,3,15,15,1,NA,2011-12-12,26,NA,2,0,0,0
4731666,4230950,25,"M",1986-05-27,2117566,9806733,NA,NA,43257,1,0,0,0,0,4,NA,"626E9F39E8C56F76","union",1,2117566,NA,NA,NA,NA,NA,NA,3,3,15,15,1,NA,2011-12-12,25,NA,2,0,0,0
4731667,95917,24,"F",1987-04-03,NA,NA,NA,0,2476470,1,0,0,0,0,1,NA,"0239B4648E3DECB3","union",1,NA,NA,NA,NA,NA,NA,NA,3,3,15,15,0,NA,2011-10-04,24,NA,2,0,0,0
4731667,2476470,31,"M",1980-01-02,NA,NA,NA,NA,95917,1,0,0,0,0,1,NA,"39A5AA05295ADC7E","union",1,NA,NA,NA,NA,NA,NA,NA,3,3,16,16,0,NA,2011-10-04,31,NA,2,0,0,0
4731668,188728,28,"F",1983-03-17,NA,NA,NA,0,6602983,1,0,0,0,0,1,NA,"0463DC10CEDFA1A2","union",1,NA,NA,NA,NA,NA,NA,NA,3,3,15,15,0,NA,2011-10-12,28,NA,2,0,0,0
4731668,6602983,25,"M",1986-12-12,NA,NA,NA,NA,188728,1,0,0,0,0,2,NA,"99A9CFD3EC014A68","union",1,NA,NA,NA,NA,NA,NA,NA,3,3,15,15,0,NA,2011-10-12,25,NA,2,0,0,0
4731669,8708825,19,"M",1992-04-07,NA,NA,NA,NA,737419,1,0,0,0,0,0,NA,"CAAE2F3C09F668DB","union",1,NA,NA,NA,NA,NA,NA,NA,3,3,12,12,0,NA,2011-04-27,19,NA,2,0,0,0
4731669,737419,27,"F",1984-03-27,NA,NA,NA,0,8708825,1,0,0,0,0,1,NA,"112CB2D91506794C","union",1,NA,NA,NA,NA,NA,NA,NA,3,3,15,15,0,NA,2011-04-27,27,NA,2,0,0,0
4731670,4547679,29,"M",1982-11-19,NA,NA,NA,NA,824775,1,0,0,1,1,1,NA,"69CCB68557F0FE09","union_w_child",1,NA,NA,NA,NA,NA,NA,NA,3,3,17,17,0,NA,2011-12-20,29,NA,3,1,1,0
4731670,824775,28,"F",1983-12-30,NA,NA,2011-12-20,1,4547679,1,0,1,0,1,1,28,"1335870451623363","union_w_child",1,NA,NA,NA,NA,NA,NA,NA,3,3,15,15,0,NA,2011-12-20,28,NA,3,1,1,0
4731670,11000225,0,"F",2011-12-20,824775,4547679,NA,0,NA,0,1,0,0,0,NA,NA,NA,"child",NA,824775,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,2011-12-20,NA,NA,3,1,1,0
